tm,avgTa,minTa,maxTa,sumRn,iscs
2021-01-01,-4.2,-9.8,1.6,,
2021-01-02,-5.0,-8.4,-1.4,,
2021-01-03,-5.6,-9.1,-2.0,,
2021-01-04,-3.5,-8.4,0.3,0.0,{눈}2140-{눈}{강도0}2400-
2021-01-05,-5.5,-9.9,-2.1,0.0,-{눈}-{눈}{강도0}0300-0420. {눈}0510-{눈}{강도0}0600-0615. 
2021-01-06,-7.4,-12.0,-1.9,2.3,{눈}1830-{시정(미만)}{1km}{눈}1948-{시정(미만)}{0.5km}{눈}1950-{시정(이상)}{0.5km}{눈}2001-{시정(이상)}{1km}{눈}2010-{시정(미만)}{1km}{눈}2040-{시정(이상)}{1km}{눈}2050-{눈}{강도0}2100-2350. 
2021-01-07,-14.5,-16.5,-8.4,,
2021-01-08,-14.9,-18.6,-10.7,,
2021-01-09,-12.2,-16.6,-7.5,,
2021-01-10,-7.7,-12.8,-2.7,,
2021-01-11,-6.7,-9.6,-4.0,,
2021-01-12,-3.9,-9.3,-0.5,2.6,{눈}1340-{눈}{강도0}1500-{시정(미만)}{1km}{눈}1533-{시정(미만)}{0.5km}{눈}1555-{시정(이상)}{0.5km}{눈}1610-{시정(이상)}{1km}{눈}1656-{눈}{강도0}1800-2025. {눈}2310-2355.  {박무}2010-{박무}{강도0}2100-{박무}{강도1}2400-
2021-01-13,2.0,-3.0,8.3,0.0,{눈}0035-0115.  -{박무}-{박무}{강도1}0300-{박무}{강도0}0600-{박무}{강도0}0900-{박무}{강도0}1200-1315.  {황사}1350-{황사}{강도0}1500-{황사}{강도0}1800-{황사}{강도0}2100-{황사}{강도0}2400-
2021-01-14,1.7,-3.6,7.0,,-{황사}-{황사}{강도0}0300-{황사}{강도0}0600-0740. 
2021-01-15,4.5,-0.7,9.9,0.2,{비}1255-1320.  {박무}1510-{박무}{강도0}1800-2010. 
2021-01-16,-4.9,-8.7,-0.7,,{박무}0030-{박무}{강도0}0300-{박무}{강도0}0600-0640. 
2021-01-17,-5.5,-10.8,-1.3,0.0,{눈}1555-1645. {눈}1910-{눈}{강도0}2100-2335. 
2021-01-18,-3.8,-9.1,0.2,0.3,{눈}0155-0230. {눈}0320-0350. {눈}0420-0440. {눈}0930-{눈}{강도0}1200-1250. {눈}1350-1430. 
2021-01-19,-6.3,-11.6,-0.2,,
2021-01-20,-0.1,-6.6,7.1,,
2021-01-21,4.5,2.5,7.0,9.2,{비}1345-{비}{강도0}1500-{비}{강도0}1800-{비}{강도0}2100-{비}{강도0}2400- {박무}1450-{박무}{강도0}1500-{박무}{강도1}1800-{박무}{강도1}2100-{박무}{강도1}2400-
2021-01-22,5.5,4.8,6.6,0.1,-{비}-0040. {비}0310-0430.  -{박무}-{박무}{강도1}0300-{박무}{강도1}0600-{시정(미만)}{1km}{안개}0657-{안개}{강도0}0900-{시정(이상)}{1km}{박무}0920-{박무}{강도0}1200-{박무}{강도1}1500-{박무}{강도0}1800-{박무}{강도0}2100-{박무}{강도0}2400-
2021-01-23,7.6,4.8,12.2,,-{박무}-0055.  {채운}0750-0800. {햇무리}0950-1115.
2021-01-24,7.3,2.4,13.9,,
2021-01-25,7.9,3.0,13.9,,{채운}0955-1030. 
2021-01-26,5.3,1.7,7.4,1.7,{비}0820-{비}{강도0}0900-{비}{강도0}1200-1230. {안개비}1455-{안개비}{강도0}1500-1740.  {박무}0905-{박무}{강도0}1200-1210. {박무}1305-{박무}{강도0}1500-{박무}{강도0}1800-1820.
2021-01-27,1.7,-1.8,6.5,,{박무}0030-0110. 
2021-01-28,-2.6,-9.7,1.4,2.0,{눈}0935-{시정(미만)}{1km}{눈}0957-{시정(이상)}{1km}{눈}1046-1055.  {박무}1005-1120. 
2021-01-29,-8.8,-11.6,-4.9,,
2021-01-30,-1.6,-8.1,5.2,0.5,{눈}0340-0520. {눈}0725-{눈}{강도0}0900-1015. 
2021-01-31,3.2,-3.8,8.7,,
2021-02-01,5.0,-2.3,9.5,0.7,{비}0205-0255.  {박무}0740-{박무}{강도0}0900-1150. {박무}1240-{박무}{강도0}1500-{박무}{강도0}1800-1948. 
2021-02-02,-5.6,-8.2,-2.4,0.0,{눈}1855-{눈}{강도0}2100-2245. 
2021-02-03,-3.2,-9.4,1.4,3.4,{눈}1605-{눈}{강도0}1800-1830. {눈}1955-{눈}{강도0}2100-{시정(미만)}{1km}{눈}2110-{시정(이상)}{1km}{눈}2130-{시정(미만)}{1km}{눈}2301-{시정(이상)}{1km}{눈}2315-{시정(미만)}{1km}{눈}2340-{시정(이상)}{1km}{눈}2359-{눈}{강도0}2400- {박무}2320-{박무}{강도2}2400-
2021-02-04,-3.6,-7.4,0.7,0.1,-{눈}-0120.  -{박무}-0150. 
2021-02-05,1.4,-4.4,6.7,,{햇무리}1550-1630. 
2021-02-06,6.8,4.3,9.5,,{박무}1150-{박무}{강도0}1200-{박무}{강도0}1500-{박무}{강도0}1800-{박무}{강도0}2100-{박무}{강도1}2400-
2021-02-07,3.6,-2.6,7.7,,-{박무}-{박무}{강도1}0300-{박무}{강도2}0600-{시정(미만)}{1km}{안개}0738-{시정(미만)}{0.5km}{안개}0749-{시정(이상)}{0.5km}{안개}0800-{시정(이상)}{1km}{박무}0821-{박무}{강도2}0900-{박무}{강도0}1200-1255.  {연무}1250-1330. 
2021-02-08,-3.1,-5.4,0.2,,
2021-02-09,-0.9,-6.1,4.7,,
2021-02-10,3.4,-1.5,7.2,,{박무}2350-{박무}{강도0}2400-
2021-02-11,5.5,1.3,10.9,,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-1135.  {연무}1130-{연무}{강도0}1200-1450. {연무}1750-{연무}{강도0}1800-{연무}{강도0}2100-{연무}{강도0}2400-
2021-02-12,6.5,0.6,14.0,,{박무}0305-{박무}{강도0}0600-{박무}{강도0}0900-1010.  -{연무}-{연무}{강도0}0300-0310. {연무}1005-{연무}{강도0}1200-1210. {연무}1840-{연무}{강도0}2100-{연무}{강도0}2400-
2021-02-13,7.6,1.0,15.9,,-{연무}-0150. {연무}0350-{연무}{강도0}0600-{연무}{강도0}0900-{연무}{강도0}1200-1230. 
2021-02-14,9.5,6.4,13.8,0.0,{비}0505-0515.  {연무}1650-{연무}{강도0}1800-{연무}{강도0}2100-{연무}{강도0}2400-
2021-02-15,1.2,-5.2,8.2,1.4,{비}0130-0135. {비}0215-{비}{강도0}0300-0545. {비}0630-0825.  {박무}0350-{박무}{강도1}0600-{박무}{강도0}0900-1020.  -{연무}-{연무}{강도0}0300-0355. 
2021-02-16,-5.1,-7.0,-1.3,1.5,{눈}0852-{눈}{강도0}0900-{가루눈}1010-{가루눈}{강도1}1200-{눈}1345-1425. 
2021-02-17,-8.3,-10.4,-5.2,0.0,{눈}1950-2030. 
2021-02-18,-5.8,-10.6,-0.4,,
2021-02-19,1.6,-7.1,8.9,,
2021-02-20,8.8,5.5,14.9,,{박무}0320-{박무}{강도0}0600-{박무}{강도0}0900-1125.  {연무}1120-{연무}{강도0}1200-1215.
2021-02-21,10.8,4.7,17.4,,{박무}0405-{박무}{강도0}0600-{박무}{강도0}0900-1015.  {연무}0040-{연무}{강도0}0300-0410. {연무}1010-1040. 
2021-02-22,7.8,0.4,12.6,,{연무}1150-{연무}{강도0}1200-1345. 
2021-02-23,0.0,-3.1,4.3,,
2021-02-24,2.9,-3.0,10.1,,
2021-02-25,4.2,0.7,8.2,,
2021-02-26,8.2,0.5,15.8,,
2021-02-27,9.5,4.3,16.2,,
2021-02-28,7.8,3.2,10.8,,
2021-03-01,4.7,0.5,9.0,67.5,{비}0105-{비}{강도0}0300-{비}{강도0}0600-{비}{강도1}0900-{비}{강도1}1200-{비}{강도1}1500-{비}{강도0}1800-{진눈깨비}1810-{눈}1905-{눈}{강도0}2100-{눈}{강도0}2400- {박무}0350-0430. {박무}0520-{박무}{강도0}0600-{박무}{강도1}0900-{박무}{강도1}1200-{박무}{강도0}1500-{박무}{강도0}1800-{박무}{강도0}2100-{박무}{강도0}2400-
2021-03-02,2.3,0.2,6.9,0.1,-{눈}-0120.  -{박무}-0030. 
2021-03-03,4.4,-1.2,9.9,,
2021-03-04,7.2,2.5,13.0,,
2021-03-05,9.0,3.0,16.2,,
2021-03-06,6.6,3.2,11.6,,{박무}0350-{박무}{강도0}0600-0735. 
2021-03-07,6.2,2.1,12.2,,
2021-03-08,7.0,1.5,13.9,,
2021-03-09,6.6,2.1,12.2,,{박무}2250-{박무}{강도0}2400-
2021-03-10,8.8,1.7,17.1,,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-0945.  {연무}0940-1130. {연무}1740-{연무}{강도0}1800-{연무}{강도0}2100-{연무}{강도0}2400-
2021-03-11,10.2,4.7,17.1,,{박무}0630-{박무}{강도0}0900-0930.  -{연무}-{연무}{강도0}0300-{연무}{강도0}0600-0635. {연무}0925-{연무}{강도0}1200-{연무}{강도0}1500-1510. {연무}1640-{연무}{강도0}1800-1940. 
2021-03-12,10.5,7.2,14.9,0.0,{비}0605-0650. {비}1350-{비}{강도0}1500-1550.  {연무}0530-{연무}{강도0}0600-{연무}{강도0}0900-{연무}{강도0}1200-1310.
2021-03-13,9.2,4.6,14.2,,{연무}2255-{연무}{강도0}2400-
2021-03-14,9.1,4.9,14.7,,{박무}0215-{박무}{강도0}0300-{박무}{강도1}0600-{박무}{강도1}0900-1115.  -{연무}-0220. {연무}1110-{연무}{강도0}1200-1450. {연무}1740-{연무}{강도0}1800-1850. {연무}2010-{연무}{강도0}2100-{연무}{강도0}2400-
2021-03-15,10.6,5.1,15.7,1.7,{비}2245-{비}{강도0}2400- {박무}0230-{박무}{강도0}0300-{박무}{강도1}0600-{박무}{강도0}0900-1015. {박무}2210-{박무}{강도2}2400- -{연무}-0235. {연무}1005-{연무}{강도0}1200-{연무}{강도0}1500-1550. 
2021-03-16,8.4,4.9,13.1,1.3,-{비}-0225.  -{박무}-{박무}{강도1}0300-0440.  {황사}0945-{황사}{강도0}1200-{황사}{강도0}1500-{황사}{강도0}1800-{황사}{강도0}2100-{황사}{강도0}2400-
2021-03-17,8.8,1.8,17.5,,-{황사}-{황사}{강도0}0300-{황사}{강도0}0600-{황사}{강도0}0900-{황사}{강도0}1200-{황사}{강도0}1500-{황사}{강도0}1800-{황사}{강도0}2100-{황사}{강도0}2400-
2021-03-18,11.7,5.0,18.4,,-{황사}-0050. 
2021-03-19,15.3,11.4,20.2,,
2021-03-20,9.9,7.4,14.7,5.1,{비}0710-{비}{강도0}0900-{비}{강도0}1200-1445. {비}1830-{비}{강도0}2100-2125.  {박무}0930-{박무}{강도0}1200-1440. {박무}1825-{박무}{강도0}2100-2110. {박무}2235-{박무}{강도0}2400-
2021-03-21,5.8,3.1,8.6,0.3,{비}1210-1340.  -{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-1110.
2021-03-22,6.2,1.1,11.1,,
2021-03-23,9.1,2.5,16.4,,{박무}0650-0720. 
2021-03-24,10.8,5.7,16.9,,{박무}0610-0720. 
2021-03-25,11.9,6.8,19.0,,{박무}2045-{박무}{강도0}2100-{박무}{강도1}2400-
2021-03-26,12.6,4.8,20.6,,-{박무}-{박무}{강도1}0300-{박무}{강도2}0600-{박무}{강도1}0900-1010.  {연무}1005-{연무}{강도0}1200-1225. {연무}1315-1410. {연무}1840-{연무}{강도0}2100-2130. {연무}2320-{연무}{강도0}2400- {햇무리}1120-1220. {채운}1450-1510. 
